ABIM	070	ABI
ADJUMANI	040	ADJ
AGAGO	111	AGA
ALEBTONG	088	ALE
AMOLATAR	057	AMO
AMUDAT	081	AMD
AMURIA	058	AMI
AMURU	071	AMU
APAC	001	APA
ARUA	002	ARU
ARUA CITY	136	ARC
BUDAKA	072	BDK
BUDUDA	078	BUD
BUGIRI	041	BUG
BUGWERI	123	BGW
BUHWEJU	109	BUH
BUIKWE	082	BUI
BUKEDEA	079	BKD
BUKOMANSIMBI	098	BKM
BUKWO	059	BUK
BULAMBULI	089	BLM
BULIISA	073	BUL
BUNDIBUGYO	003	BUN
BUNYANGABU	117	BNY
BUSHENYI	004	BSH
BUSIA	042	BUS
BUTALEJA	060	BTL
BUTAMBALA	099	BTM
BUTEBO	118	BUT
BUVUMA	090	BUV
BUYENDE	083	BUY
DOKOLO	074	DOK
FORT PORTAL CITY	139	FPC
GOMBA	091	GOM
GULU	005	GUL
GULU CITY	137	GUC
HOIMA	006	HOI
HOIMA CITY	145	HOC
IBANDA	061	IBA
IGANGA	007	IGA
ISINGIRO	062	ISI
JINJA	008	JIN
JINJA CITY	138	JIC
KAABONG	063	KAA
KABALE	009	KAB
KABAROLE	010	KBR
KABERAMAIDO	054	KBM
KAGADI	113	KAG
KAKUMIRO	114	KAK
KALAKI	129	KLK
KALANGALA	011	KAL
KALIRO	064	KLR
KALUNGU	100	KLU
KAMPALA	012	KAM
KAMULI	013	KML
KAMWENGE	046	KMW
KANUNGU	055	KAN
KAPCHORWA	014	KAP
KAPELEBYONG	124	KPL
KARENGA	130	KAR
KASESE	015	KAS
KASSANDA	125	KSS
KATAKWI	043	KAT
KAYUNGA	047	KAY
KAZO	131	KAZ
KIBAALE	016	KIB
KIBOGA	017	KBG
KIBUKU	102	KBK
KIKUUBE	126	KIK
KIRUHURA	065	KIR
KIRYANDONGO	092	KRY
KISORO	018	KIS
KITAGWENDA	132	KTG
KITGUM	019	KIT
KOBOKO	066	KOB
KOLE	103	KOL
KOTIDO	020	KOT
KUMI	021	KUM
KWANIA	127	KWA
KWEEN	104	KWE
KYANKWANZI	093	KYA
KYEGEGWA	084	KYG
KYENJOJO	048	KYE
KYOTERA	119	KYO
LAMWO	085	LAM
LIRA	022	LIR
LIRA CITY	144	LIC
LUUKA	094	LUU
LUWEERO	023	LUW
LWENGO	105	LWE
LYANTONDE	080	LYA
MADI-OKOLLO	133	MAD
MANAFWA	067	MAN
MARACHA	077	MAR
MASAKA	024	MAS
MASAKA CITY	141	MSC
MASINDI	025	MSD
MAYUGE	049	MAY
MBALE	026	MBL
MBALE CITY	142	MBC
MBARARA	027	MBR
MBARARA CITY	140	MRC
MITOOMA	106	MTM
MITYANA	068	MIT
MOROTO	028	MOR
MOYO	029	MOY
MPIGI	030	MPI
MUBENDE	031	MUB
MUKONO	032	MUK
NABILATUK	128	NAB
NAKAPIRIPIRIT	056	NKP
NAKASEKE	069	NAK
NAKASONGOLA	044	NKS
NAMAYINGO	095	NMY
NAMISINDWA	120	NMS
NAMUTUMBA	075	NAM
NAPAK	107	NAP
NEBBI	033	NEB
NGORA	108	NGO
NTOROKO	096	NTO
NTUNGAMO	034	NTU
NWOYA	110	NWO
OBONGI	134	OBO
OMORO	115	OMO
OTUKE	086	OTU
OYAM	076	OYA
PADER	050	PAD
PAKWACH	121	PAK
PALLISA	035	PAL
RAKAI	036	RAK
RUBANDA	116	RUB
RUBIRIZI	112	RBR
RUKIGA	122	RKG
RUKUNGIRI	037	RUK
RWAMPARA	135	RWA
SERERE	097	SER
SHEEMA	101	SHE
SIRONKO	051	SIR
SOROTI	038	SOR
SOROTI CITY	146	SOC
SSEMBABULE	045	SSE
TEREGO	143	TER
TORORO	039	TOR
WAKISO	052	WAK
YUMBE	053	YUM
ZOMBO	087	ZOM
