Agago	Acholi
Amuru	Acholi
Gulu City	Acholi
Gulu	Acholi
Kitgum	Acholi
Lamwo	Acholi
Nwoya	Acholi
Omoro	Acholi
Pader	Acholi
Buhweju	Ankole
Bushenyi	Ankole
Ibanda	Ankole
Isingiro	Ankole
Kazo	Ankole
Kiruhura	Ankole
Mbarara City	Ankole
Mbarara	Ankole
Mitooma	Ankole
Ntungamo	Ankole
Rubirizi	Ankole
Rwampara	Ankole
Sheema	Ankole
Bududa	Bugisu
Bukwo	Bugisu
Bulambuli	Bugisu
Kapchorwa	Bugisu
Kween	Bugisu
Manafwa	Bugisu
Mbale City	Bugisu
Mbale	Bugisu
Namisindwa	Bugisu
Sironko	Bugisu
Budaka	Bukedi
Busia	Bukedi
Butaleja	Bukedi
Butebo	Bukedi
Kibuku	Bukedi
Pallisa	Bukedi
Tororo	Bukedi
Buliisa	Bunyoro
Hoima City	Bunyoro
Hoima	Bunyoro
Kagadi	Bunyoro
Kakumiro	Bunyoro
Kibaale	Bunyoro
Kikuube	Bunyoro
Kiryandongo	Bunyoro
Masindi	Bunyoro
Bugiri	Busoga
Bugweri	Busoga
Buyende	Busoga
Iganga	Busoga
Jinja City	Busoga
Jinja	Busoga
Kaliro	Busoga
Kamuli	Busoga
Luuka	Busoga
Mayuge	Busoga
Namayingo	Busoga
Namutumba	Busoga
Kampala	Kampala
Abim	Karamoja
Amudat	Karamoja
Kaabong	Karamoja
Karenga	Karamoja
Kotido	Karamoja
Moroto	Karamoja
Nabilatuk	Karamoja
Nakapiripirit	Karamoja
Napak	Karamoja
Kabale	Kigezi
Kanungu	Kigezi
Kisoro	Kigezi
Rubanda	Kigezi
Rukiga	Kigezi
Rukungiri	Kigezi
Alebtong	Lango
Amolatar	Lango
Apac	Lango
Dokolo	Lango
Kole	Lango
Kwania	Lango
Lira City	Lango
Lira	Lango
Otuke	Lango
Oyam	Lango
Buikwe	North Central
Buvuma	North Central
Kassanda	North Central
Kayunga	North Central
Kiboga	North Central
Kyankwanzi	North Central
Luwero	North Central
Mityana	North Central
Mubende	North Central
Mukono	North Central
Nakaseke	North Central
Nakasongola	North Central
Bukomansimbi	South Central
Butambala	South Central
Gomba	South Central
Kalangala	South Central
Kalungu	South Central
Kyotera	South Central
Lwengo	South Central
Lyantonde	South Central
Masaka City	South Central
Masaka	South Central
Mpigi	South Central
Rakai	South Central
Sembabule	South Central
Wakiso	South Central
Amuria	Teso
Bukedea	Teso
Kaberamaido	Teso
Kalaki	Teso
Kapelebyong	Teso
Katakwi	Teso
Kumi	Teso
Ngora	Teso
Serere	Teso
Soroti City	Teso
Soroti	Teso
Bundibugyo	Tooro
Bunyangabu	Tooro
Fort Portal City	Tooro
Kabarole	Tooro
Kamwenge	Tooro
Kasese	Tooro
Kitagwenda	Tooro
Kyegegwa	Tooro
Kyenjojo	Tooro
Ntoroko	Tooro
Adjumani	West Nile
Arua City	West Nile
Arua	West Nile
Koboko	West Nile
Madi-Okollo	West Nile
Maracha	West Nile
Moyo	West Nile
Nebbi	West Nile
Obongi	West Nile
Pakwach	West Nile
Terego	West Nile
Yumbe	West Nile
Zombo	West Nile
